[2013-10-16 23:51:50] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-16 23:51:50] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-16 23:51:51] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-16 23:51:52] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-17 05:31:54] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-17 05:31:55] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-17 05:31:55] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-17 05:31:56] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-17 05:31:57] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-17 05:31:57] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-17 05:31:57] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-17 05:31:58] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-17 05:31:58] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-17 05:31:58] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-17 05:31:58] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-17 05:31:59] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-17 05:32:01] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-17 05:32:01] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-17 05:32:01] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-17 05:32:01] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-17 05:32:02] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-17 05:32:03] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-17 05:32:04] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-17 05:32:04] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-17 05:32:04] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-17 05:32:04] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-17 05:32:05] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-17 05:32:05] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-17 05:32:05] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-17 05:32:05] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-17 05:32:05] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-17 05:32:06] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-17 05:32:06] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-17 05:32:07] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-17 05:32:07] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-17 05:32:07] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-17 05:32:07] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-17 05:32:08] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-17 05:32:08] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-17 05:32:08] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-17 05:32:09] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-17 05:32:09] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-17 05:32:11] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-17 05:32:12] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-17 05:32:13] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-17 05:32:15] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-17 05:32:16] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-17 05:32:17] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-17 05:32:19] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-17 05:32:20] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-17 05:32:21] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
[2013-10-17 05:32:23] INFO: Statistics reset in filename '/home/dominie6/public_html/news/wp-content/plugins/ad-minister/ad-minister-functions.php', by function 'administer_save_stats', on line 841
